id,url_id,user_id,event_type,timestamp,details
1,1,1,created,2025-12-18 10:24:26,"{""short_code"":""dKbJ2q"",""original_url"":""https://opswise.net/quiet/valley/1""}"
2,2,215,created,2025-12-01 04:40:47,"{""short_code"":""Eg80MF"",""original_url"":""https://opswise.net/proud/pioneer/2""}"
3,3,193,created,2026-02-08 21:59:42,"{""short_code"":""8OoV86"",""original_url"":""https://example.com/forest/canyon/3""}"
4,4,55,created,2025-07-25 13:36:48,"{""short_code"":""uVDFL4"",""original_url"":""https://opswise.net/young/river/4""}"
5,5,82,created,2025-05-17 21:24:39,"{""short_code"":""giFxwc"",""original_url"":""https://acme.dev/silver/uplink/5""}"
6,6,344,created,2026-02-06 23:52:26,"{""short_code"":""Xfo9We"",""original_url"":""https://opswise.net/forest/garden/6""}"
7,7,44,created,2025-08-09 02:48:06,"{""short_code"":""myMEiL"",""original_url"":""https://acme.dev/dawn/valley/7""}"
8,8,394,created,2025-04-18 06:25:33,"{""short_code"":""w9Fhs9"",""original_url"":""https://seeded.app/rapid/delta/8""}"
9,9,101,created,2025-09-05 01:50:32,"{""short_code"":""bhrbWC"",""original_url"":""https://seeded.app/ember/uplink/9""}"
10,10,86,created,2025-07-25 05:54:05,"{""short_code"":""KY0rmX"",""original_url"":""https://relay.cloud/harbor/lagoon/10""}"
11,11,251,created,2025-12-31 12:41:11,"{""short_code"":""qjx2wA"",""original_url"":""https://opswise.net/ivory/pioneer/11""}"
12,12,267,created,2025-02-26 10:47:30,"{""short_code"":""ygA8Qw"",""original_url"":""https://opswise.net/proud/canyon/12""}"
13,13,364,created,2025-10-04 22:49:57,"{""short_code"":""zwNDg7"",""original_url"":""https://acme.dev/clear/beacon/13""}"
14,14,125,created,2025-10-12 20:50:23,"{""short_code"":""xdeP0Q"",""original_url"":""https://example.com/clear/garden/14""}"
15,15,378,created,2025-11-18 09:16:18,"{""short_code"":""3XoEOe"",""original_url"":""https://seeded.app/opal/island/15""}"
16,16,256,created,2025-09-03 13:19:06,"{""short_code"":""yItMZV"",""original_url"":""https://example.com/urban/field/16""}"
